2026-03-07 15:57:09 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 15:57:10 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 15:57:10 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 15:57:40 | INFO     | GatewayMapper | 系统托盘已停止
2026-03-07 15:57:40 | INFO     | GatewayMapper | GatewayMapper 已退出
2026-03-07 16:16:37 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 16:16:37 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 16:16:37 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 16:41:13 | INFO     | GatewayMapper | 系统托盘已停止
2026-03-07 16:41:13 | INFO     | GatewayMapper | GatewayMapper 已退出
2026-03-07 16:41:33 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 16:41:33 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 16:41:33 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 16:42:45 | INFO     | GatewayMapper | 系统托盘已停止
2026-03-07 16:42:45 | INFO     | GatewayMapper | GatewayMapper 已退出
2026-03-07 16:55:18 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 16:55:18 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 16:55:18 | INFO     | GatewayMapper | 已生成新的加密密钥
2026-03-07 16:55:34 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 16:55:34 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 16:55:34 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-07 16:58:10 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:04:02 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:04:02 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:04:02 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:06:00 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:06:00 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:06:00 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-07 17:06:00 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:06:00 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:06:00 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:06:00 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:06:00 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:06:00 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:06:00 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:06:00 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:06:00 | INFO     | GatewayMapper | 已删除预设: 测试服务器
2026-03-07 17:06:00 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:06:00 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:06:00 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:06:00 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:06:00 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:06:00 | WARNING  | GatewayMapper | 使用特权端口 443，可能需要管理员权限
2026-03-07 17:08:09 | INFO     | GatewayMapper | 系统托盘已停止
2026-03-07 17:08:10 | INFO     | GatewayMapper | GatewayMapper 已退出
2026-03-07 17:10:52 | INFO     | GatewayMapper | GatewayMapper 启动中...
2026-03-07 17:10:52 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:10:52 | INFO     | GatewayMapper | 系统托盘已启动
2026-03-07 17:30:16 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:30:16 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:30:16 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-07 17:30:16 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:30:16 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:30:16 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:30:16 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:30:16 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:30:16 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:30:16 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:30:16 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:30:16 | INFO     | GatewayMapper | 已删除预设: 测试服务器
2026-03-07 17:30:16 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:30:16 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:30:16 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:30:16 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:30:16 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:30:16 | WARNING  | GatewayMapper | 使用特权端口 443，可能需要管理员权限
2026-03-07 17:37:54 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-07 17:37:54 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-07 17:37:54 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-07 17:37:54 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:37:54 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:37:54 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:37:54 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-07 17:37:54 | INFO     | GatewayMapper | 使用默认配置
2026-03-07 17:37:54 | DEBUG    | GatewayMapper | 配置已保存
2026-03-07 17:37:54 | INFO     | GatewayMapper | 已添加预设: 测试服务器
