2026-03-15 08:34:22 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 08:34:22 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-15 08:34:22 | WARNING  | GatewayMapper | 使用特权端口 443，可能需要管理员权限
2026-03-15 08:35:27 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 08:35:27 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-15 08:35:27 | WARNING  | GatewayMapper | 使用特权端口 443，可能需要管理员权限
2026-03-15 08:35:50 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 08:35:50 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-15 08:35:50 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-15 08:35:50 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 08:35:50 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 08:35:50 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:35:50 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-15 08:35:50 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 08:35:50 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:35:50 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-15 08:35:50 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:35:50 | INFO     | GatewayMapper | 已删除预设: 测试服务器
2026-03-15 08:35:50 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 08:35:50 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:35:50 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:35:50 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 08:35:50 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-15 08:35:50 | WARNING  | GatewayMapper | 使用特权端口 443，可能需要管理员权限
2026-03-15 08:36:21 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
2026-03-15 08:36:21 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:36:21 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:36:21 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
2026-03-15 08:36:21 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
2026-03-15 08:36:21 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
2026-03-15 08:36:21 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:36:21 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:37:21 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
2026-03-15 08:37:21 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:37:21 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:37:21 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
2026-03-15 08:37:21 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
2026-03-15 08:37:21 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:37:21 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:37:35 | WARNING  | GatewayMapper | 使用特权端口 22，可能需要管理员权限
2026-03-15 08:37:35 | WARNING  | GatewayMapper | 使用特权端口 80，可能需要管理员权限
2026-03-15 08:37:35 | DEBUG    | GatewayMapper | 已加载现有加密密钥
2026-03-15 08:37:35 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 08:37:35 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 08:37:35 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:37:35 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-15 08:37:35 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 08:37:35 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:37:35 | INFO     | GatewayMapper | 已添加预设: 测试服务器
2026-03-15 08:37:35 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:37:35 | INFO     | GatewayMapper | 已删除预设: 测试服务器
2026-03-15 08:37:35 | INFO     | GatewayMapper | 使用默认配置
2026-03-15 08:37:35 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:37:35 | DEBUG    | GatewayMapper | 配置已保存
2026-03-15 08:37:35 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
2026-03-15 08:37:35 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:37:35 | DEBUG    | GatewayMapper | 已释放单实例锁
2026-03-15 08:37:35 | ERROR    | GatewayMapper | 单实例检查出错：[WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。
